,condition,order,VB-yes-no,VB-problem-solving,VB-cloze,FE-yes-no,FE-problem-solving,FE-cloze
25,control,"['VB', 'FE']","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","VB_P1                                                                                                                                                                There are no available buses. It has no route segments. There are no available drivers. 
VB_P2                                                                                                                                                                                            The scheduled bus had a malfunction. The driver was absent. 
VB_P3                                                                                                                                                        The number of reservations was too large. There were too many passengers without a reservation. 
VB_P4                                                                                                                                                                                                   The passenger does not have a valid name or address. 
VB_P5    They could increase the number of daily trips or trips, given a sufficient quantity of drivers. They would also have to accomodate for increased repair demands. They could also expand their working area (travelling to more towns, for example). 
Name: 47, dtype: object","['travel', 1, 1, 'many', 1, 'entrance', 'empty', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'any', 'town', 'special', 'route segment', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'details', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'maintenace problems', 'maintenace', 1]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","FE_P1    There is a missing part that has not yet been provided. A mechanic has not yet completed a repair task. There are a lot of other repair tasks currently taking up the mechanics time. 
FE_P2                                                                                 They might not have sufficient mechanics or experienced mechanics. They might not have sufficient parts. 
FE_P3          The labor rate of the mechanic might differ. The replaced part of one machine might be more expensive. The required repair might have been more complex or required more parts. 
FE_P4                                                        It would depend on labor cost, difficulty of repair, the price of required repair parts, the number of hours spent on the repair. 
FE_P5                     It would decrease manual labor - number of mechanic hours spent on turbine engine repair will decrease, while mechanisc might be free to address other repair tasks. 
Name: 47, dtype: object","[1, 1, 'lowest', 'several', 1, 1, 1, 1, 1, 'rotations per minute', 1, 1, 1, 'manufacturer', 1, 1, 'repeating', 1, 1, 'part', 1, 'supplied', 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 1, 'experienced', 1, 'experienced', 'any', 'repairs', 'equipment', 1, 1, 1, 1, 1, 1]"
26,treatment,"['VB', 'FE']","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]","VB_P1                              Too long, Too short, High probability of causing problems.
VB_P2          Management issue, Misunderstanding, Issue with the bus, Driver decided not to.
VB_P3                                 Passenger might have gotten confused, Management issue.
VB_P4                 Special event is for children and viceversa, passenger can be pregnant.
VB_P5    More buses available, replacements for buses in maintanance, More trips can be done.
Name: 48, dtype: object","[1, 1, 'turists', 'several', 1, 1, 1, 1, 1, 1, 1, 'Each', 1, 0, 1, 0, 'daily', 'daily', 'town', 'special', 1, 'All', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'descrition', 1, 1, 'trips', 1, 1, 0, 0, 'experienced', 1, 'problems', 1, 1]","[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]","FE_P1                                  Wrong replacement, Machanic error, Costumer broke it again.
FE_P2                                                Not enough space, mechanics, parts, and time.
FE_P3                          Very similar but not the same, Demand for the repair has decreased.
FE_P4                     Brainstorm all possible problems in the estimation, Hire a statistician.
FE_P5    New entity, creating new relationships between existent entities, need of less mechanics.
Name: 48, dtype: object","[1, 0, 'lowest', 1, 1, 1, 1, 1, 1, 1, 1, 1, 'repaired', 'mechanic', 1, 1, 1, 1, 'adress', 0, 'use', 'spared', 1, 'warehouse', 'bin', 'code', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 'price', 1, 0, 'stored']"
27,control,"['VB', 'FE']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","VB_P1                     The driver has assigned the trip with a numer, start town and end town without defining the route segment.
VB_P2    The bus they were supposed to use got a maintenance problem. The driver could not go to the starting point for some reason.
VB_P3                         There sold more tickets than seats. More passengers showed up on the boarding date than they expected.
VB_P4                                        Because there are no seats left in the bus. Because that person does not have a ticket.
VB_P5          Voyager Bus will have to plan more daily trips as the buses will be smaller, and less passengers will fit on the bus.
Name: 49, dtype: object","['daily trips', 1, 'all passengers', 1, 1, 1, 1, 1, 1, 1, 'Their telephone', 1, 1, 'collected', 1, 1, 1, 1, 'town', 'special', 1, 'The', 1, 1, 1, 'absence of the', 'absence', 1, 1, 'same', 1, 'detailed', 1, 1, 1, 'maintenance', 1, 1, 1, 1, 1, 1, 'problems', 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","FE_P1                                                                                                                         Because they have not received the parts from the manufacturer yet.
FE_P2                                                                                                They will have to store more parts than usual. They will have to contact more manufacturers.
FE_P3                                                            Because even if the machines were similar, the part that the mechanic had to repair, could be more expensive than the other one.
FE_P4                                        They do not know how long will it take to repair the parts that were not working. If they have to ask for more parts than they thought they needed. 
FE_P5    For this matter, they will no longer need mechanics, so they will be able to focus on different tasks. Also, the parts stored in the warehouse will now have to be where the machine is.
Name: 49, dtype: object","[1, 1, 'minimum', 'all', 1, 1, 1, 1, 1, 0, 'reciprocating', 1, 'repaired', 'mechanic', 1, 1, 'new', 1, 1, 0, 'supply', 'storage', 1, 1, 'bin', 'warehouse name', 'parts', 1, 1, 1, 1, 1, 'the equipment', 1, 1, 1, 'assigned', 'be', 1, 1, 1, 1, 1, 1, 1]"
28,treatment,"['VB', 'FE']","[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","VB_P1                                                                                                                                                              maybe there is no one of ineterest or itś too far and tiring trip
VB_P2                                                                                                                                                                                      maybe some of the busses are out of order
VB_P3                                                                                                                       maybe the passenger has forgotten the date and time of his or her trip or maybe is caught in traffic jam
VB_P4                                                                                                                                            unsystematic probelms occur all the time such as a terrible headache or an accident
VB_P5    with medium sized busses they can manage a trip more comfortabe becuse of the lower people in that trip and also it has another benefit, they can start more trips because the seats will be taken faster than in a big bus
Name: 50, dtype: object","[' trips', 1, 'people', 1, 1, 'bordering', 'untaken', 1, 'bordering', 1, 1, 1, 1, 0, 0, 'finish town', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 'description', 'bus', 'details', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 'maintanance problems', 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]","FE_P1                                                                                                                                                                                                             Maybe the compony is not able to find the proper part for the machine
FE_P2                                                                                                                                                                                                                          lack of parts and also mechanics who should repair them.
FE_P3                                                                                                                                                                                            maybe one machine just needed a service but the other one neede some parts to replace.
FE_P4    Itś a routine task that happens, when you survey a problem in a machine at the first time you may consider a problem but when you go in depth you see that there are so many problems that must be fixed, so the price will increase because more time and perhaps neede parts
FE_P5                                                                               well buying new machine means you have to put more money on this project and also hiring more employees that they need salary, and also I think they will face with lack of space in their company.
Name: 50, dtype: object","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 'centrigugal', 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,treatment,"['VB', 'FE']","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]","VB_P1                        Not enough busses, not enough drivers, starting en finish time, work on the road
VB_P2                                                      Absent drivers, bus in use, no good communication 
VB_P3    Passengers without reservations took one seat, someone took their child or bring someone with them  
VB_P4                                                                                          No reservation
VB_P5                                                                           New daily trips, more drivers
Name: 51, dtype: object","[1, 1, 1, 'several', 1, 'boarding ', 'bus ', 'reservation ', 1, 1, 1, 1, 1, 'associated', 1, 'route ', 'two', 'drivers', 'town', 'special', 'start town', 'Goes on ', 1, 'telephone ', 'stored', 'absence of ', 1, 1, 1, 1, 'details', 'to', 1, 1, 1, 1, 'model', 1, 1, 1, 'experienced', 1, 'problems', 'date', 'stated ']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]","FE_P1                                                                                                          No mechanic, parts are missing, 
FE_P2                                                                               Not enough equipment, not enough storage room in warehouses
FE_P3                                                                           Hours of repair working, years experience, volume, machine type
FE_P4    You don´t know for sure how many hours you will be working on it, maybe you see more things you have to repair then the one mentioned 
FE_P5                                                                                                                              I dont know 
Name: 51, dtype: object","['repairs ', 'machines ', 1, 'equipment', 1, 'mechanic', 1, 'detail', 'owns', 'RPM', 1, 1, 'assigned', 'repair number ', 1, 1, 1, 'mechanics', 'adress', 'suuply', 0, 'stored', 'bin ', 'desciptive', 'bin', 'ware house name', 1, 1, 1, 'labour rate', 'assigned', 1, 'clients', 1, 1, 1, 'repair', 'skilled', '?', 1, 'repaired', 'name', 1, 1, 'stored']"
30,control,"['VB', 'FE']","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","VB_P1                                                 I dont know
VB_P2                                                 I dont know
VB_P3                     The system did not save the reservation
VB_P4                                            The bus is full 
VB_P5    They should add this new category size to the data base 
Name: 52, dtype: object","[1, 1, 'the passengers', 1, 1, 'board', '...', 1, 1, 1, 'Teleohone', '...', 'starting', '...', 1, 1, 'many', 1, 'town', 'special', 1, '...', 1, 1, 1, 'absence', 'abscent', 1, 'absent', 1, 1, 'detail (?)', 1, 1, 1, '...', 1, 1, 1, 'descriprion', 'bus', '...', 'problems', 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","FE_P1                                                                                                  I dont know
FE_P2                                                                                                  I dont know
FE_P3                                                                                          Wrong repair number
FE_P4    It depends on so many factors like the price of the parts to be repaired, the warehouse or the manufacter
FE_P5                                                                                                  I dont know
Name: 52, dtype: object","['reparations', 1, '..', '...', 1, 1, 'reparation', 'mechanic', 1, 'RPM', 1, 1, '...', '...', 'bin', 'Telephone', '...', '...', 1, '...', '...', 'storage', 'bin', 1, 'bin', 'price', 'parts', 'name', 1, 1, '...', 1, 1, '...', 'sent', 'selected', '..', '...', 'reparation', 'repair', 'repaired', 'cost', 'reapair', 'mechanic', 1]"
31,control,"['FE', 'VB']","[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","VB_P1                      no passengers, no bus, no driver
VB_P2      bus is in maintenance, all busses in daily trips
VB_P3    too many board tickets sold, too many reservations
VB_P4                                              no space
VB_P5               different busses, less space in the bus
Name: 53, dtype: object","[1, 1, 1, 1, 1, 1, 'board', 1, 1, 'voyager', 1, 0, 1, 'associated', 1, 1, 1, 1, 'town', 'special', 1, 'special', 'route ', 1, 'collecyed', 'absence', 1, 'absent', 0, 'bus', 'reason', 1, 1, 1, 1, 0, 'maintenance service', 'maitenance', 1, 1, 1, 1, 'problems', 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]","FE_P1                                  a part didnt arive yet, there are no mechanics, the mechanic is taking longer than imagined
FE_P2                                                                                       not enough mechanics, not enough parts
FE_P3    different manufacturer, different equipment, more hours needed, the labour rate of mechanic is higher(different mechanic)
FE_P4                took more hours than thought, price of part was higher, more skilled person was needed for the job (mechanic)
FE_P5                                                                       different manufacturer is added, less mechanics needed
Name: 53, dtype: object","[1, 'equipments', 'best', 'equipment', 1, 1, 1, 'manufactural', 0, 0, 1, 'diameters', 'repaired', 'mechanic', 1, 1, 0, 'equipment', 'adress', 'supply', 'store', 'used ', 'contains', 'bin', 0, 0, 0, 1, 1, 1, 0, 'expereience', 1, 1, 1, 1, 1, 'help', 0, 1, 0, 0, 1, 1, 0]"
32,treatment,"['VB', 'FE']","[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","VB_P1                                                                                            maybe not many people would like to take part in such trip, too expensive, to long road, maybe not enough buses, maybe the idea wasnt realistic
VB_P2                                                                                  maybe all bus drivers had other trips, bus drivers were not informed, maybe there the buses weren´t prepared on time, no one bought ticket for this trip 
VB_P3                                                                                                                                               this passenger may didn´t had ticket before, maybe too many people took part/ wanted to go, 
VB_P4    maybe person was disabled and bus was not prepared for such situaction, maybe all of the sits were taken, date of the trip may didn´t suit schedual of this person, maybe this person didn´t have enough money to purchase the ticket  
VB_P5                                                                         many more trips could take place, many more drivers would be needed, the company will make more money, new people will get work, company may become more popular, 
Name: 54, dtype: object","[1, 1, 'people', 'several', 'reservaction', 1, 'empty', 'seat', 'leaving', 1, 1, 1, 1, 0, 0, 'route', 'two', 'each ', 'town', 'special', 'segment', 'The', 1, 'phone', 0, 'bus', 0, 'time of ', 'trip', 'bus', 'trips', 0, 0, 1, 'bus ', 1, 1, 'maintrenance', 'special', 1, 'small', 'whole', 'problems', 0, 'important']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","FE_P1    maybe noone of the mechanics had time to do so, maybe there were no needed part, maybe no one produce part that needs to be repaired, maybe they need more time for doing it
FE_P2                                                            no enough parts in warehouse, they would need more time to do every single rapair, they dont have enough mechanics, 
FE_P3                                                       maybe this machine needed different more expensive part or more work, maybe there were also something else to do with it 
FE_P4                                                                                      different machines needs different parts and different amount of time on working on them, 
FE_P5                                                                             they would have more things to work on, maybe more customers, they willl need extra space for that 
Name: 54, dtype: object","[1, 1, 'less', 'all', 1, 'repair details', 1, 'special ', 'mechanic', 'equipment', 1, 1, 'supply', 'manufacture', 'phone ', 1, 'local ', 0, 1, 0, 0, 'are stored', 1, 'special', 'bin', 0, 0, 0, 1, 1, 0, 1, 'customer', 'questions', 0, 1, 1, 0, 'machine', 1, 'code?', 'price', 'whole', 'made', 'counted']"
33,control,"['FE', 'VB']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]","VB_P1                                                                                                                                     the trip must have a route segment that must have a start time and a finish time; the passenger didn´t provide information if a bus will be required;   solution: suggest providing more details
VB_P2    it encountered a mechanical problem that need repairing, the driver/s got ill; the managers were not informed of the absence start date   solution: 1) change ""absence start date¨ to ¨required information""  2)contact the bus driver in advance or tell the driver to contact the managers if there will be any delay/canceling
VB_P3                                                                                     the passenger was assigned to the trip without the managers checking if there are enough seats because of no data;  the passenger bought the ticket too late (didn´t have a reservation);     solution: include the number of seats for each bus
VB_P4                                                                                                                                  not enough seats       solution: change ""average nr. of passengers¨ to ¨required information"" and include the number of seats for each special trip as well as the end date for buying the ticket  
VB_P5                                                                                                                                                                                                                              the entity ¨bus"" will require a new atribute asking for ¨size"" ;  solution: make changes to the dataset
Name: 55, dtype: object","[1, 1, 'its passengers', 1, 'reservation ', 'trip', 1, 'reservation ', 1, 1, 1, 1, 1, 'made', 1, 1, 1, 1, 'town', 'special/festive', 'holiday name', 1, 1, 'employee ', 'stored', 'absence details of the', 'ill', 1, 1, 'bus', 1, 'details', 1, 'number of buses', 'Each', 'long trips', 'repairing', 1, 1, 1, 1, 1, 'problems', 1, 1]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]","FE_P1                                                                                                                                                                                                                      '- messed up the details of when some parts needed to be replaced will be delivered, sent the costumer the wrong day when the repair will be finished, the equipment should be renewed quicker than they expected it
FE_P2    mess up the repair details, calculate the wrong price for repairs, assign mechanics to repairs that don´t require one, have a lack of repair details when needed, they can require 1 type of repairing machine for more repairs at the same time and mess up the finishing dates provided to the costumer;     solutions: include a data base with the number of the day when recieve the order and when it is supposed ot be finished
FE_P3                                                                                                                                                                                                                                '- different prices for specific pieces, one of the repairs required a mechanic, one of the repairs needed more parts to be replaced, the equipment that was used requiered more expenses from the company
FE_P4                                                                                                                                                                                                                                                                                                                       too many variables, hard to estimate the salary needed to be provided to the mechanic, some pieces weren´t in stock
FE_P5                                                                                                                                                         a new block will be used to indicate whether the repair was done by a mechanic or the machine, if it was done by the machine it might include the expenses the machine requires to complete the repair;    I don´t see the need to provide solutions for the affects I enumerated
Name: 55, dtype: object","['repair facilities', 'parts', 1, 1, 1, 1, 'repairing', 1, 1, 0, ' centrifugal', 1, 1, 'cutomer', 1, 1, 'some', 1, 'adress', 'supplying', 'keep track of', 'stored', 1, 'specific', 'bin', 'warehouse name', 1, 'yrs. experience', 1, 1, 1, 1, 1, 'selected', 1, 'selected', 1, 'tasks', 1, 1, 1, 'number', 1, 1, 1]"
34,treatment,"['FE', 'VB']","[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]","VB_P1    the new trip could cost more money than they have for the entire trip; the new trip could be far away and could be dangerous road which is not for passengers who are going on a trip only
VB_P2                                                                the managers reserved the trip for another date and time or they could lie their workers that all of them has to expect a trip
VB_P3                                                                                      a mistake in the logistic; there is a person not included in the lest with passengers on this exact trip
VB_P4                   the person realized that he/she does not have enough money or he/she read more about the special event and realized that it will not so interesting that the person thought
VB_P5                                                                                                     more people can be included on such kind of trip; not only tiny people will be able to go
Name: 56, dtype: object","['trip', 1, 'the passengers', 'different', 'board', 'board', 'entire', 1, 1, 1, 'All', 1, 1, 'associated', 1, '#', 1, 1, 'town', 'special', 1, 'Trip', 'trips', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","FE_P1                                                                                                                  a part of this machine is not received in the warehouse yet; no enough workers who have to repair the machine on time
FE_P2                                                                    finishing the machines not on time becuse of the lack of workers and time; working under preasure can cause longer repairing because of the high number of machines
FE_P3                                                           the problems on both machines could be different=> different level of difficulties; workers want to steal money from the customers; a mistake in calculating the final price
FE_P4                                                                                                                              every problem  of different machines is individual and there can not be one exact price for every problem
FE_P5    employees has to buy it with much money but after that the results will be satisfying for everyone because there will be many more customers=> higher salaries for the workers, more workers=> high valued company, happy customers
Name: 56, dtype: object","[' machines', 0, 0, 'machine', 1, 0, 0, 1, 1, 'machine type', 1, 1, 0, 0, 'bin', 'Bin', 0, 0, 1, 'part', 0, 'stored', 0, 1, 0, 'descr.', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,treatment,"['FE', 'VB']","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0]","VB_P1           trip wasnt planned with enough time, there is no bus available at that time
VB_P2    bus was in maintenance, they didnt reserve the bus, there was no available drivers
VB_P3                                                    passenger didnt reserve the ticket
VB_P4                                                        there is no event at that time
VB_P5                           more people will be able to go, they will need more drivers
Name: 57, dtype: object","[1, 1, 1, 1, 1, 1, 'empty', 1, 1, 1, 1, 1, 1, 0, 1, 1, 'numerous', 1, 'town', 'special', 'event', 'one', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'maintnance', 'maintenence', 1, 1, 0, 'av. repair', 'problems', 0, 0]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]","FE_P1                                                 it was not asigned to any of the mechanics yet, they didnt have the requred parts for the repair
FE_P2    there wont be enough mechanics to repair everything, they will work longe hours, they will need more parts and more space to store everithing
FE_P3                                        the parts for the repair could have been more expencive, maybe it requred more time to repair the machine
FE_P4                                                                                                          cost of the needed parts fo the repairs
FE_P5                                                                            some of the repairs would also be assigned to the new repair machine 
Name: 57, dtype: object","['numerous', 'repairs', 1, 1, 1, 1, 1, 1, 1, 0, 'centrifuhal', 1, 'repaired', 'mechanic', 1, 1, 1, 1, 1, 'part', 'store', 'not used', 'bin', 1, 'bin', 'price', 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 'repair details', 1, 0, 'cost', 1, 1, 0]"
36,control,"['VB', 'FE']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1]","VB_P1                                                      Not enough drivers, not enough busses, not enough public interest
VB_P2                                                                                       maintance problem, absent driver
VB_P3    he didn´t have a reservation so the bus filled up, he did have a reservation but too many people boarded before him
VB_P4                                                                                           not enough people want to go
VB_P5                                                   more daily trips, more drivers, more route segments, more passengers
Name: 58, dtype: object","['transport', 1, 1, 'multiple', 'reservation to go', 1, 'empty', 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 'a daily', 'town', 'special', 'daily trip', 1, 1, 1, 'mandatory', 1, 1, 1, 1, 1, 1, 'details', 'despription', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]","FE_P1                                                                        no parts, no avaliable machanics
FE_P2                                                                          not enough mechanics and parts
FE_P3                                                 it took more hours for the repair, parts were different
FE_P4    hard to predict how many hours it will take, a part need to be ordered so the price is not yet clear
FE_P5         instead of requiring parts, repair details would lead to the machine in case of turbine engines
Name: 58, dtype: object","[1, 1, 1, 'many', 'pumps', 1, 1, 1, 1, 'rotations per minute', 'diesel', 1, 'repaired', 'mechanic', 1, 1, 1, 1, 'adress', 'part', 'supply', 'supplied', 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 1, 'avaliable', 1, 'assigned', 1, 'repair', 'equipment', 1, 0, 0, 0, 0, 0]"
37,control,"['VB', 'FE']","[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]","VB_P1                                                      Not enough buses
VB_P2    '-No finish time from the last bus, the bus had maintaned problems
VB_P3                                            The reservation went wrong
VB_P4                                                                Corona
VB_P5                      More aver no of passengers and more reservations
Name: 59, dtype: object","[1, 'eve', 1, 'multiple', 1, 1, 'passenger', 1, 1, 'the', 1, 'The', 1, 0, 0, 0, 0, 0, 'town', 'special', 'event', 'The', 0, 'emplyee', 0, 0, 0, 1, 'trip', 0, 'details', 0, 1, 0, 1, 'trips', 0, 0, 'date', 1, 'problem', 1, 'problems', 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]","FE_P1    wrong repair number or repair details or no equipment
FE_P2                                    Not enough mechanics 
FE_P3                              the hours they worked on it
FE_P4       equipment, labour rate, experience of the mechanic
FE_P5                        there will be more repair details
Name: 59, dtype: object","['repair details', 'parts', 0, 0, 0, 1, 1, 1, 'manul code', 0, 0, 1, 1, 1, 1, 1, 'new', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 'expierence', 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
38,treatment,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","VB_P1                     Does not fit within the daily trips. There is no event.
VB_P2    Busses in maintenance. Other busses where at other trips. Absent drivers
VB_P3                                                     Another bus takes over.
VB_P4                                               It is not part of daily trips
VB_P5               Not enough busses. The bus has enough room for the passengers
Name: 60, dtype: object","['travel', 1, 'clients', 'different', 1, 1, 'bus', 'travel', 'travel', 'reservation', 1, 'The', 1, 0, 0, 1, 1, 1, 'town', 'special', 'trip number', 'The', 1, 1, 1, 'bus', 1, 'trip', 'trip', 'bus', 1, 'details', 1, 0, 'Voyager bus inc', 1, 1, 1, 1, 1, 'experienced', 1, 'problems', 1, 'recorded ']","[0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","FE_P1                                                                                                                  They are repairing another machine
FE_P2                                                                                                                   Not enough mechanics or equipment
FE_P3    amount of horse power, RPM. Mechanic that is assigned has a higher rate or experience so is more expensive. Amount of hours spent on the repair.
FE_P4                                                                               Hours spent on repair. Amount of mechanics that worked on the repair.
FE_P5                    The machine will be added. The prices will change at the repair details part. Equipment might be needed so this will change too.
Name: 60, dtype: object","[1, 1, 'best', 'all', 1, 1, 1, 'mechanic', 1, 0, 0, 1, 'stored', 'warehouse', 1, 'phone', 1, 1, 'name', 'customer', 'store', 'repaired', 'bin', 1, 'bin', 0, 1, 1, 1, 1, 0, 1, 'parts', 'main', 1, 'experienced', 1, 0, 'machinery', 'parts', 0, 1, 1, 1, 'made']"
